id,country,code,zone,rate
712,BOLIVIA ,5913924,6,90
713,BOLIVIA ,5913925,6,90
714,BOLIVIA ,5913934,6,90
715,BOLIVIA ,5913935,6,90
716,BOLIVIA ,5913936,6,90
717,BOLIVIA ,5913943,6,90
718,BOLIVIA ,5913944,6,90
719,BOLIVIA ,5913945,6,90
720,BOLIVIA ,5913946,6,90
721,BOLIVIA ,5913947,6,90
722,BOLIVIA ,59133130,6,90
723,BOLIVIA ,59133131,6,90
724,BOLIVIA ,59133132,6,90
725,BOLIVIA ,59133139,6,90
726,BOLIVIA ,59133763,6,90
727,BOLIVIA ,59133764,6,90
728,BOLIVIA ,59133765,6,90
729,BOLIVIA ,59133766,6,90
730,BOLIVIA ,59133767,6,90
731,BOLIVIA ,59133768,6,90
732,BOLIVIA ,59133769,6,90
733,BOLIVIA ,59133820,6,90
734,BOLIVIA ,59133821,6,90
735,BOLIVIA ,59133882,6,90
736,BOLIVIA ,59139260,6,90
737,BOLIVIA ,59139261,6,90
738,BOLIVIA ,59139262,6,90
739,BOLIVIA ,59139300,6,90
740,BOLIVIA ,59139301,6,90
741,BOLIVIA ,59139302,6,90
742,BOLIVIA ,59139303,6,90
743,BOLIVIA ,59139304,6,90
744,BOLIVIA ,59139305,6,90
745,BOLIVIA ,59139317,6,90
746,BOLIVIA ,59139318,6,90
747,BOLIVIA ,59139319,6,90
